,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Dorus de Vries,G,"6'01""",12 08,29-12-80,Beverwijk,Stormvogels Telstar,ADO Den Haag,2005,Dutch
2,2,Angelo Martha,D,"6'01""",12 13,29-04-82,Amsterdam,MVV,ADO Den Haag,2005,Dutch
3,3,Cory Gibbs,D,"6'01""",12 12,14-01-80,Plantation,Feyenoord,ADO Den Haag,2005,Dutch
4,4,Alberto Saavedra,D,"6'03""",12 11,29-10-81,Oviedo,Numancia,ADO Den Haag,2005,Dutch
5,5,Youssef El Akchaoui,D,"5'08""",10 12,18-02-81,Dordrecht,Union Berlin,ADO Den Haag,2005,Dutch
7,7,Geert den Ouden,F,"6'04""",13 12,24-07-76,Delft,Djurgårdens IF,ADO Den Haag,2005,Dutch
8,8,Aleksandar Ranković,D,"5'08""",11 05,31-08-78,Belgrade,Vitesse,ADO Den Haag,2005,Dutch
9,9,Michael Mols,F,"5'10""",12 02,17-12-70,Amsterdam,FC Utrecht,ADO Den Haag,2005,Dutch
10,10,Roy Stroeve,M,"5'10""",10 08,15-05-77,Emmen,Heracles Almelo,ADO Den Haag,2005,Dutch
11,11,Paulus Henrik Roiha,F,"6'00""",11 00,03-08-80,Espoo,Cercle Brugge,ADO Den Haag,2005,Dutch
12,12,Ferrie Bodde,M,"5'10""",12 06,05-05-82,Delft,Vitesse Delft,ADO Den Haag,2005,Dutch
14,14,Joonas Kolkka,F,5'09'',11 03,28-09-74,Lahti,Crystal Palace,ADO Den Haag,2005,Dutch
15,15,Spira Grujic,D,"6'02""",12 13,07-12-71,Pristina,FC Twente,ADO Den Haag,2005,Dutch
16,16,Wesley Verhoek,F,"6'02""",12 08,25-09-86,Leidschendam,VUC,ADO Den Haag,2005,Dutch
18,18,Cees Paauwe,G,"6'06""",14 05,03-11-77,Dronten,FC Twente,ADO Den Haag,2005,Dutch
19,19,Eljero Elia,F,"5'09""",11 00,13-02-87,Voorburg,Ajax,ADO Den Haag,2005,Dutch
20,20,Tomasz Rzasa,D,"5'11""",12 00,11-03-73,Kraków,SC Heerenveen,ADO Den Haag,2005,Dutch
21,21,Edwin de Graaf,M,"6'01""",11 11,30-04-80,Den Haag,Feyenoord,ADO Den Haag,2005,Dutch
22,22,Peter Jungschläger,M,"6'00""",12 11,22-05-84,Voorburg,DEVJO,ADO Den Haag,2005,Dutch
23,23,Said Bakkati,D,"5'08""",11 09,23-02-82,Groningen,SC Heerenveen,ADO Den Haag,2005,Dutch
24,24,Arjan van der Kaay,G,,,09-01-83,De Lier,SVVSMC,ADO Den Haag,2005,Dutch
26,26,Raymond Riedewald,D,,,,,None,ADO Den Haag,2005,Dutch
29,29,Jaroslav Drobný,G,"6'04""",13 12,09-10-79,Pocatky,Fulham,ADO Den Haag,2005,Dutch
30,30,Robert Zwinkels,G,"6'01""",12 08,04-05-83,,Ajax,ADO Den Haag,2005,Dutch
31,31,Christiaan Kum,D,"6'00""",11 00,13-09-85,Frankfurt am Main,None,ADO Den Haag,2005,Dutch
1,1,Maarten Stekelenburg,G,"6'04""",13 03,22-09-82,Haarlem,Schoten,Ajax,2005,Dutch
2,2,Hatem Trabelsi,D,"5'10""",12 11,25-01-77,Ariana,Club Sportif Sfax,Ajax,2005,Dutch
3,3,Zdenek Grygera,D,"6'00""",12 06,14-05-80,Prílepy u Holesova,Sparta Prague,Ajax,2005,Dutch
4,4,John Heitinga,D,"5'11""",11 05,15-11-83,Alphen aan den Rijn,ARC,Ajax,2005,Dutch
6,6,Tomás Galásek,M,"5'11""",12 01,15-01-73,Frydek-Místek,Willem II,Ajax,2005,Dutch
7,7,Mauro Damián Rosales,F,"5'08""",11 00,24-02-81,Villa María,Newell's Old Boys,Ajax,2005,Dutch
8,8,Hedwiges Maduro,M,"6'01""",12 04,13-02-85,Almere,FC Omniworld,Ajax,2005,Dutch
9,9,Aggelos Charisteas,F,6'03'',12 13,09-02-80,Serres,Werder Bremen,Ajax,2005,Dutch
10,10,Steven Pienaar,M,"5'09""",10 06,17-03-82,Johannesburg,Ajax Cape Town,Ajax,2005,Dutch
11,11,Ryan Babel,F,"6'01""",12 04,19-12-86,Amsterdam,Fortius,Ajax,2005,Dutch
12,12,Hans Vonk,G,"6'05""",12 13,30-01-70,Alberton,SC Heerenveen,Ajax,2005,Dutch
15,15,Thomas Vermaelen,D,"5'11""",11 07,14-11-85,Kapellen,Germinal Beerschot,Ajax,2005,Dutch
17,17,Ioannis Anastasiou,F,"6'00""",13 08,05-03-73,Arta,Roda JC,Ajax,2005,Dutch
18,18,Wesley Sneijder,M,"5'07""",10 08,09-06-84,Utrecht,DOS,Ajax,2005,Dutch
19,19,Urby Emanuelson,M,"5'09""",10 06,16-06-86,Amsterdam,Voorland,Ajax,2005,Dutch
21,21,Olaf Lindenbergh,D,"5'10""",10 08,06-02-74,Purmerend,AZ,Ajax,2005,Dutch
22,22,Juanfran,D,"6'00""",12 04,15-07-76,Valencia,Beşiktaş,Ajax,2005,Dutch
24,24,Markus Rosenberg,F,"6'00""",12 00,27-09-82,Malmö,Malmö FF,Ajax,2005,Dutch
25,25,Klaas Jan Huntelaar,F,"6'00""",12 04,12-08-83,Drempt,SC Heerenveen,Ajax,2005,Dutch
27,27,Edgar Manucharyan,F,"5'09""",10 08,19-01-87,Erevan,Pyunik Erevan,Ajax,2005,Dutch
28,28,Nourdin Boukhari,M,"6'00""",12 04,30-06-80,Rotterdam,Sparta Rotterdam,Ajax,2005,Dutch
29,29,Nicolae Mitea,F,"5'06""",09 08,24-03-85,Bucharest,Dinamo Bucureşti,Ajax,2005,Dutch
30,30,Kenneth Vermeer,G,"5'11""",12 04,10-01-86,Amsterdam,None,Ajax,2005,Dutch
31,31,Emmanuel Boakye,D,"5'09""",11 00,25-03-85,Ejura,FC Utrecht,Ajax,2005,Dutch
32,32,Vurnon Anita,M,,,04-04-89,,None,Ajax,2005,Dutch
33,33,Robbert Schilder,D,"5'10""",12 04,18-04-86,Amstelveen,None,Ajax,2005,Dutch
38,38,Jeffrey Sarpong,M,"5'09""",10 03,03-08-88,Amsterdam,None,Ajax,2005,Dutch
41,45,Michael Timisela,D,"5'09""",10 08,05-05-86,Amsterdam,None,Ajax,2005,Dutch
1,,Henk Timmer,G,"6'02""",14 02,03-12-71,Hierden,FC Zwolle,AZ Alkmaar,2005,Dutch
2,,Theo Zwarthoed,G,"5'11""",12 00,19-11-82,Volendam,FC Volendam,AZ Alkmaar,2005,Dutch
3,,Tim de Cler,D,"6'00""",11 00,08-11-78,Leiden,Ajax,AZ Alkmaar,2005,Dutch
4,,Kew Jaliens,D,"6'00""",10 10,15-09-78,Rotterdam,Willem II,AZ Alkmaar,2005,Dutch
5,,Joris Mathijsen,D,"6'00""",11 05,05-04-80,Goirle,Willem II,AZ Alkmaar,2005,Dutch
6,,Barry Opdam,D,"6'01""",12 01,27-02-76,Leiden,FC Lisse,AZ Alkmaar,2005,Dutch
7,,Juha Reini,D,"6'02""",12 13,19-03-75,Kokkola,KRC Genk,AZ Alkmaar,2005,Dutch
8,,Gretar Rafn Steinsson,D,"6'02""",12 04,09-01-82,,Young Boys,AZ Alkmaar,2005,Dutch
9,,Demy de Zeeuw,M,"5'09""",11 03,26-05-83,Apeldoorn,Go Ahead Eagles,AZ Alkmaar,2005,Dutch
10,,Michael Buskermolen,M,"6'00""",12 04,02-03-72,Leimuiden,RKDES,AZ Alkmaar,2005,Dutch
11,,Barry van Galen,M,"5'11""",11 07,04-04-70,Haarlem,NAC Breda,AZ Alkmaar,2005,Dutch
12,,Denny Landzaat,M,"5'10""",11 00,06-05-76,Amsterdam,Willem II,AZ Alkmaar,2005,Dutch
13,,Haris Medunjanin,M,"6'02""",12 04,08-03-85,Serajevo,AFC '34,AZ Alkmaar,2005,Dutch
14,,Martijn Meerdink,M,"5'11""",11 07,15-09-76,Winterswijk,De Graafschap,AZ Alkmaar,2005,Dutch
15,,Rogier Molhoek,M,"5'11""",12 08,22-07-81,Oud-Beijerland,RKC Waalwijk,AZ Alkmaar,2005,Dutch
16,,Stijn Schaars,M,"5'10""",11 00,11-01-84,Gendt,Vitesse,AZ Alkmaar,2005,Dutch
17,,Shota Arveladze,F,"5'11""",12 00,22-02-73,Tbilisi,Rangers,AZ Alkmaar,2005,Dutch
18,,Stein Huysegems,F,"6'01""",12 06,16-06-82,Herselt,Lierse,AZ Alkmaar,2005,Dutch
19,,Pius Ikedia,F,"5'05""",09 06,11-07-80,Lagos,Ajax,AZ Alkmaar,2005,Dutch
20,,Danny Koevermans,F,"6'00""",12 01,01-11-78,Schiedam,Sparta Rotterdam,AZ Alkmaar,2005,Dutch
21,,Jermain Lens,F,,,24-11-87,,None,AZ Alkmaar,2005,Dutch
22,,Kenneth Perez,F,"6'00""",11 09,29-08-74,Copenhagen,MVV,AZ Alkmaar,2005,Dutch
23,,Tarik Sektioui,F,"5'10""",11 07,13-05-77,Fez,Willem II,AZ Alkmaar,2005,Dutch
1,1,Maikel Aerts,G,"6'04""",13 05,26-06-76,Eindhoven,RBC Roosendaal,Feyenoord,2005,Dutch
4,4,André Bahia,D,"6'00""",11 11,24-11-83,Rio de Janeiro,Flamengo,Feyenoord,2005,Dutch
5,5,Pascal Bosschaart,M,"5'09""",10 12,28-02-80,Rotterdam,FC Utrecht,Feyenoord,2005,Dutch
7,7,Dirk Kuijt,F,"6'00""",12 01,22-07-80,Katwijk,FC Utrecht,Feyenoord,2005,Dutch
9,9,Pierre van Hooijdonk,F,"6'04""",13 03,29-11-69,Steenbergen-Welberg,NAC Breda,Feyenoord,2005,Dutch
10,10,Nick Hofs,M,"5'07""",10 10,17-05-83,Arnhem,Vitesse,Feyenoord,2005,Dutch
14,14,Sebastián Pardo,M,"5'07""",11 00,01-01-82,Quillota,Universidad de Chile,Feyenoord,2005,Dutch
15,15,Patrick Mtiliga,M,"5'06""",09 13,28-01-81,Copenhagen,B93 København,Feyenoord,2005,Dutch
16,16,Alfred Schreuder,M,"5'10""",12 01,02-11-72,Barneveld,NAC Breda,Feyenoord,2005,Dutch
17,17,Patrick Paauwe,D,"6'00""",11 09,27-12-75,t Harde,Fortuna Sittard,Feyenoord,2005,Dutch
18,18,Serginho Greene,D,"5'10""",11 05,24-06-82,Amsterdam,RKC Waalwijk,Feyenoord,2005,Dutch
19,19,Ali Boussaboun,F,"5'10""",11 09,11-06-79,Tangier,NAC Breda,Feyenoord,2005,Dutch
20,20,Ron Vlaar,D,"6'02""",12 08,16-02-85,Hensbroek,AZ,Feyenoord,2005,Dutch
21,21,Salomon Kalou,F,"5'09""",10 10,05-08-85,Oumé,ASEC Abidjan,Feyenoord,2005,Dutch
28,28,Romeo Castelen,F,"5'07""",10 03,03-05-83,Paramaribo,ADO Den Haag,Feyenoord,2005,Dutch
29,29,Tim Vincken,F,"5'09""",10 03,12-09-86,Rotterdam,TOGB,Feyenoord,2005,Dutch
30,30,Patrick Lodewijks,G,"6'01""",12 08,21-02-67,Eindhoven,PSV,Feyenoord,2005,Dutch
32,32,Sherif Ekramy,G,"6'03""",14 09,01-07-83,Caïro,Al-Ahli,Feyenoord,2005,Dutch
33,33,Jonathan de Guzman,M,"5'08""",10 03,13-09-87,Toronto,None,Feyenoord,2005,Dutch
34,34,Christian Gyan,D,"5'09""",11 11,02-11-78,Tema,Gapoha,Feyenoord,2005,Dutch
35,35,Diego Biseswar,F,"5'07""",11 07,08-03-88,Amsterdam,Ajax,Feyenoord,2005,Dutch
36,36,Ivan Bandalovski,D,"5'10""",11 09,23-11-86,Sofia,Litex Lovech,Feyenoord,2005,Dutch
37,37,Royston  Drenthe,D,"5'06""",10 03,08-04-87,Rotterdam,None,Feyenoord,2005,Dutch
39,39,Pieter Collen,D,"6'00""",11 09,20-06-80,Gent,NEC,Feyenoord,2005,Dutch
1,,Jeroen Lambers,G,"6'03""",15 12,20-10-80,Zwartemeer,Zwartemeer,FC Groningen,2005,Dutch
2,,Bas Roorda,G,"6'04""",14 02,13-02-75,Assen,Roda JC,FC Groningen,2005,Dutch
3,,Danny Buijs,D,"6'00""",12 04,21-06-82,Dordrecht,Feyenoord,FC Groningen,2005,Dutch
4,,Mathias Florén,D,"5'10""",11 05,11-08-76,Soderhamn,IFK Norrköping,FC Groningen,2005,Dutch
5,,Arnold Kruiswijk,D,"6'00""",11 07,02-11-84,Groningen,Appingedam,FC Groningen,2005,Dutch
6,,Antoine van der Linden,D,"6'02""",12 01,17-03-76,Rotterdam,Emmen,FC Groningen,2005,Dutch
7,,Gijs Luirink,D,"6'02""",12 11,12-09-83,Amsterdam,FC Volendam,FC Groningen,2005,Dutch
8,,Gibril Sankoh,D,"6'01""",12 08,15-05-83,Freetown,Stormvogels Telstar,FC Groningen,2005,Dutch
9,,Valery Sedoc,D,"5'06""",10 06,04-09-85,Amsterdam,FC Omniworld,FC Groningen,2005,Dutch
10,,Bruno Silva,D,"5'11""",12 06,29-03-80,Cerro Largo,Danubio,FC Groningen,2005,Dutch
11,,Koert Thalen,D,"6'02""",,16-02-87,,None,FC Groningen,2005,Dutch
12,,Yuri Cornelisse,M,"6'00""",12 00,08-05-75,Alkmaar,NAC Breda,FC Groningen,2005,Dutch
13,,Mark Jan Fledderus,M,"5'10""",11 03,14-12-82,Coevorden,SC Heerenveen,FC Groningen,2005,Dutch
14,,Rogier Krohne,M,,,23-11-86,,None,FC Groningen,2005,Dutch
15,,Evgeniy Levchenko,M,"6'02""",12 01,02-01-78,Konstantinovka,Sparta Rotterdam,FC Groningen,2005,Dutch
16,,Rasmus Lindgren,M,"5'11""",10 12,29-11-84,Landskrona,Ajax,FC Groningen,2005,Dutch
17,,Paul Matthijs,M,"5'10""",12 00,05-10-76,Paterswolde,AZ,FC Groningen,2005,Dutch
18,,Marcel Pannekoek,M,,,03-05-86,,None,FC Groningen,2005,Dutch
19,,Stefano Seedorf,M,"5'07""",10 03,28-04-82,Amsterdam,Ajax,FC Groningen,2005,Dutch
20,,Kiran Bechan,F,"5'07""",10 12,12-09-82,Amsterdam,Ajax,FC Groningen,2005,Dutch
21,,Robbin Kieft,F,"6'02""",,22-05-87,,Ajax,FC Groningen,2005,Dutch
22,,Koen van de Laak,F,"6'00""",11 07,03-09-82,Vught,FC Den Bosch,FC Groningen,2005,Dutch
23,,Erik Nevland,F,"5'10""",11 09,10-11-77,Stavanger,Viking,FC Groningen,2005,Dutch
24,,Glen Salmon,F,"5'11""",12 00,24-12-77,Harare,NAC Breda,FC Groningen,2005,Dutch
2,2,Jakob Poulsen,M,"6'00""",11 05,07-07-83,,Esbjerg,SC Heerenveen,2005,Dutch
3,3,Petter Hansson,D,"6'01""",13 03,14-12-76,Helsingborg,Halmstads BK,SC Heerenveen,2005,Dutch
4,4,Michel Breuer,D,"6'00""",11 05,25-05-80,Gouda,Excelsior,SC Heerenveen,2005,Dutch
5,5,Marcel Seip,D,"6'00""",11 03,05-04-82,Winschoten,BV Veendam,SC Heerenveen,2005,Dutch
6,6,Paul Bosvelt,M,"6'00""",12 04,26-03-70,Doetinchem,Manchester C,SC Heerenveen,2005,Dutch
7,7,Ugur Yildirim,F,"5'10""",11 09,08-05-82,Apeldoorn,Go Ahead Eagles,SC Heerenveen,2005,Dutch
8,8,Hjalte Bo Norregaard,M,"6'00""",12 00,08-04-81,Copenhagen,FC København,SC Heerenveen,2005,Dutch
10,10,Lasse Nilsson,M,"5'11""",11 00,03-01-82,Borås,Elfsborg,SC Heerenveen,2005,Dutch
11,11,André Hanssen,M,"5'10""",11 11,31-01-81,Skjervøj,Bodø/Glimt,SC Heerenveen,2005,Dutch
12,12,Mark de Vries,F,6'03'',12 01,24-08-75,Paramaribo,Leicester C,SC Heerenveen,2005,Dutch
14,14,Thomas Präger,M,"5'09""",11 05,13-09-85,Vienna,FC OMV Staflau,SC Heerenveen,2005,Dutch
15,15,Jeroen Drost,D,"6'00""",12 04,21-01-87,Kampen,Go Ahead Eagles,SC Heerenveen,2005,Dutch
16,16,Sebastiaan Steur,F,"6'02""",12 04,08-03-84,Naarden,FC Volendam,SC Heerenveen,2005,Dutch
17,17,Arnold Bruggink,M,6'00'',12 08,24-07-77,Almelo,Mallorca,SC Heerenveen,2005,Dutch
18,18,Fernando Derveld,D,"6'02""",13 00,22-10-76,Vlissingen,Odense,SC Heerenveen,2005,Dutch
19,19,Niklas Tarvajärvi,F,"6'01""",13 05,13-03-83,Tuusula,MyPa,SC Heerenveen,2005,Dutch
21,21,Abdelkarim Kissi,M,"5'10""",11 07,05-05-80,Oujda,Litex Lovech,SC Heerenveen,2005,Dutch
22,22,Henrico Drost,D,"6'00""",12 08,21-01-87,Kampen,Go Ahead Eagles,SC Heerenveen,2005,Dutch
23,23,Danijel Pranjic,M,"5'07""",10 03,02-12-81,Nasice,Dinamo Zagreb,SC Heerenveen,2005,Dutch
24,24,Boy Waterman,G,"6'02""",13 01,24-01-84,Lelystad,Ajax,SC Heerenveen,2005,Dutch
25,25,Brian Vandenbussche,G,"6'05""",13 03,24-09-81,Blankenberge,Sparta Rotterdam,SC Heerenveen,2005,Dutch
26,26,Sven Taberima,G,"5'09""",12 04,15-06-85,Amersfoort,Ajax,SC Heerenveen,2005,Dutch
