,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Eduardo,G,5'10'',11 03,10-12-78,Lousa,Sporting Pombal,Académica,2005,Portuguese
2,2,Joeano,F,"5'09""",11 05,12-08-79,Fortaleza,Salamanca,Académica,2005,Portuguese
3,3,Danilo,D,"6'00""",11 11,19-08-80,Mirassol,Coritiba,Académica,2005,Portuguese
4,4,Ezequias,D,5'11'',10 12,28-01-81,Junidia,Marítimo,Académica,2005,Portuguese
5,5,Hugo Alcântara,D,"6'03""",13 05,28-07-79,Mato Grosso,Vitória Setúbal,Académica,2005,Portuguese
7,7,Luciano Fonseca,M,"5'07""",10 06,11-05-79,Caxias do Sul,São Gabriel,Académica,2005,Portuguese
9,9,Gélson Geraldo,F,5'11'',12 00,10-01-79,Curitiba,Malmö FF,Académica,2005,Portuguese
11,11,Dionattan,M,5'11'',11 03,28-05-82,São Miguel do Iguaçu,Juventude,Académica,2005,Portuguese
12,12,Dani,G,"6'01""",12 01,24-09-73,Málaga,Naval,Académica,2005,Portuguese
13,13,Zé Castro,M,6'00'',12 00,13-01-83,Coimbra,None,Académica,2005,Portuguese
14,14,Felipe Teixeira,F,5'09'',10 10,02-10-80,Paris,Paris St-Germain,Académica,2005,Portuguese
16,16,Pedro Alves da Silva,D,"5'10""",12 01,25-04-81,Brasília,Internacional,Académica,2005,Portuguese
18,18,Vítor Vinha,M,5'11'',11 03,11-11-85,Viseu,None,Académica,2005,Portuguese
19,19,Paulo Adriano,M,6'00'',12 01,03-03-77,Coimbra,Anadia,Académica,2005,Portuguese
20,20,Fernando,M,"5'10""",11 05,16-04-81,Guarajá,Moreirense,Académica,2005,Portuguese
22,22,Sarmento,F,"5'11""",10 12,16-03-85,Mortágua,None,Académica,2005,Portuguese
23,23,Ito,F,"5'10""",11 00,24-05-87,,None,Académica,2005,Portuguese
24,24,Pedro Roma,G,6'01'',13 01,13-08-70,Pombal,Gil Vicente,Académica,2005,Portuguese
27,27,Nuno Luís,D,5'09'',11 09,15-01-75,Vila Franca de Xira,Nacional,Académica,2005,Portuguese
28,28,Nuno Piloto,M,5'10'',11 07,19-03-82,Viseu,None,Académica,2005,Portuguese
30,30,Luís Filipe Andrade,M,"5'10""",11 00,30-09-73,Lisbon,Tenerife,Académica,2005,Portuguese
41,50,Serjão,F,"6'01""",13 03,09-12-79,Alvorada,Portimonense,Académica,2005,Portuguese
42,78,Ousmane N'Doye,F,"6'00""",11 11,21-03-78,Thies,Penafiel,Académica,2005,Portuguese
43,87,Zada,M,"5'09""",11 09,21-05-77,,Santa Cruz,Académica,2005,Portuguese
44,88,Roberto Brum,M,"5'08""",11 03,07-07-78,Rio de Janeiro,Coritiba,Académica,2005,Portuguese
1,1,Marco Aurélio,G,6'01'',14 00,04-06-70,São Paulo,Farense,Belenenses,2005,Portuguese
2,2,Amaral,D,"5'07""",10 12,28-02-72,Capivari,Leixões,Belenenses,2005,Portuguese
3,3,Vasco Faísca,D,"6'01""",12 08,27-08-80,Lisbon,Académica,Belenenses,2005,Portuguese
4,4,Rui Ferreira,M,5'09'',11 09,29-03-73,Espinho,Vitória Guimarães,Belenenses,2005,Portuguese
5,5,Ruben Amorim,M,"5'10""",11 05,27-01-85,Lisbon,None,Belenenses,2005,Portuguese
6,6,Sandro Gaúcho,M,5'10'',12 01,19-05-74,Restinga Seca,Beira-Mar,Belenenses,2005,Portuguese
7,7,Hassan Ahamada,F,"5'09""",10 12,13-04-81,Brest,Nantes,Belenenses,2005,Portuguese
8,8,Paulo Sérgio,F,"5'05""",10 06,24-01-84,Lisbon,Sporting CP,Belenenses,2005,Portuguese
9,9,Romeu,F,5'11'',12 08,08-10-74,Santa Maria de Fiera,Vitória Guimarães,Belenenses,2005,Portuguese
10,10,Silas,M,"5'10""",11 00,01-09-76,Lisbon,Wolverhampton W,Belenenses,2005,Portuguese
11,11,José Pedro,M,"6'01""",12 01,18-10-78,Montijo,Vitória Setúbal,Belenenses,2005,Portuguese
13,13,Rolando,D,"6'02""",12 01,31-08-85,Cape Verde,None,Belenenses,2005,Portuguese
14,14,Mano,M,,,,,None,Belenenses,2005,Portuguese
16,16,José Carlos Sousa,D,5'11'',12 00,09-10-77,São João Madeira,FC Porto,Belenenses,2005,Portuguese
17,17,José Gaspar,D,6'03'',12 04,01-06-75,Santo Tirso,Ajaccio,Belenenses,2005,Portuguese
18,18,Pedro Pinheiro,M,"5'11""",11 05,17-02-77,Gaia,Estoril,Belenenses,2005,Portuguese
