,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Jean-François Gillet,BEL,G,1.81,82,31-05-79,Liège,Treviso,Bari,2010,Italian
3,3,Paul Constantin Codrea,ROU,M,1.74,69,04-04-81,Timişoara,Siena,Bari,2010,Italian
4,4,Sergio Almirón,ARG,M,1.80,76,07-11-80,Rosario,Juventus,Bari,2010,Italian
5,5,Andrea Masiello,ITA,D,1.85,75,05-02-86,Viareggio,Genoa,Bari,2010,Italian
6,6,Michele Rinaldi,ITA,D,1.84,77,09-01-87,Manerbio,Rimini,Bari,2010,Italian
7,7,Emanuel Rivas,ARG,F,1.75,64,17-03-83,Quilmes,Arezzo,Bari,2010,Italian
8,8,Massimo Donati,ITA,M,1.86,75,26-03-81,Sedegliano,Celtic,Bari,2010,Italian
9,9,José Ignacio Castillo,ARG,F,1.87,82,04-11-75,Capital Federal,Fiorentina,Bari,2010,Italian
10,10,Barreto,BRA,F,1.71,60,12-07-85,Rio de Janeiro,Udinese,Bari,2010,Italian
11,11,Abdelkader  Ghezzal,ALG,F,1.83,78,05-12-84,Decines  Charpieu,Siena,Bari,2010,Italian
14,14,Alessandro Gazzi,ITA,M,1.84,83,28-01-83,Feltre,Reggina,Bari,2010,Italian
15,15,Nicola  Belmonte,ITA,D,1.83,75,15-04-87,Cosenza,Siena,Bari,2010,Italian
17,17,Salvatore Masiello,ITA,M,1.78,70,31-01-82,Naples,Udinese,Bari,2010,Italian
20,20,Vitali  Kutuzov,BLR,F,1.83,83,20-03-80,Pinsk,Parma,Bari,2010,Italian
21,21,Alessandro Parisi,ITA,D,1.84,70,15-04-77,Palermo,Messina,Bari,2010,Italian
22,22,Erik Huseklepp,NOR,M,1.86,75,05-09-84,Bærum,Brann,Bari,2010,Italian
23,23,Antonio Langella,ITA,F,1.83,85,30-03-77,Naples,Udinese,Bari,2010,Italian
24,24,Kamil Kopúnek,SVK,M,1.79,71,18-05-84,Trnava,Spartak Trnava,Bari,2010,Italian
25,25,Daniele Padelli,ITA,G,1.91,85,29-10-85,Lecco,Sampdoria,Bari,2010,Italian
27,27,Simone Bentivoglio,ITA,M,1.84,79,29-05-85,Pinerolo,Chievo Verona,Bari,2010,Italian
28,28,Gianluca Galasso,ITA,M,1.81,73,18-01-84,Latina,Roma,Bari,2010,Italian
29,29,Nicola Strambelli,ITA,M,1.68,62,06-09-88,Bari,None,Bari,2010,Italian
32,32,Jaime,ESP,M,1.76,74,31-07-90,Albacete,Udinese,Bari,2010,Italian
33,33,Marco Rossi,ITA,D,1.88,78,30-09-87,Parma,Parma,Bari,2010,Italian
34,34,Dario Cascione,ITA,D,,,08-02-93,Modugno,None,Bari,2010,Italian
35,35,Antonio Cilfone,ITA,M,,,21-06-92,Bari,Roma,Bari,2010,Italian
36,36,Vincenzo De Sario,ITA,D,,,18-03-93,Terlizzi,None,Bari,2010,Italian
37,37,Antonino Di Leva,ITA,M,1.76,,28-07-91,Sorrento,Sampdoria,Bari,2010,Italian
38,38,Ernesto Dispoto,ITA,D,,,22-07-92,Bari,Bitonto,Bari,2010,Italian
39,39,Francesco Grandolfo,ITA,F,1.82,78,26-07-92,Castellana,None,Bari,2010,Italian
40,40,Luigi Monopoli,ITA,D,,,11-04-92,Bitonto,None,Bari,2010,Italian
41,41,Pietro Perina,ITA,G,1.86,82,28-02-92,Andria,None,Bari,2010,Italian
42,52,Kamil Glik,POL,D,1.90,80,03-02-88,Jastrzębie Zdrój,Palermo,Bari,2010,Italian
43,71,Gergely  Rudolf,HUN,F,1.76,77,09-03-85,Nyiregyhaza,Genoa,Bari,2010,Italian
44,78,Mauro Boerchio,ITA,G,1.96,80,16-08-89,Broni,Sancolombano,Bari,2010,Italian
45,84,Andrea Raggi,ITA,D,1.87,82,24-06-84,Carrara,Palermo,Bari,2010,Italian
46,89,Stefano Okaka Chuka,ITA,F,1.86,83,09-08-89,Castiglion del Lago,Roma,Bari,2010,Italian
47,90,Edgar Álvarez,HON,M,1.72,79,08-01-80,Puerto Cortéz,Roma,Bari,2010,Italian
1,1,Emiliano Viviano,ITA,G,1.95,88,01-12-85,Fiesole,Brescia,Bologna,2010,Italian
2,2,Juan Cruz,ESP,D,1.80,79,28-07-92,Madrid,Atlético Madrid B,Bologna,2010,Italian
3,3,Archimede Morleo,ITA,D,1.83,78,26-06-83,Mesagne,Crotone,Bologna,2010,Italian
4,4,Rene Krhin,SVN,M,1.89,78,21-05-90,Maribor,Internazionale,Bologna,2010,Italian
5,5,Massimo Mutarelli,ITA,M,1.78,74,13-01-78,Como,Lazio,Bologna,2010,Italian
6,6,Miguel Angel Britos,URU,D,1.88,82,17-07-85,Montevideo,Montevideo Wanderers,Bologna,2010,Italian
7,7,Francesco Della Rocca,ITA,M,1.82,77,14-09-87,Brindisi,None,Bologna,2010,Italian
8,8,György Garics,AUT,M,1.83,76,08-03-84,Szombathely,Atalanta,Bologna,2010,Italian
9,9,Marco Di Vaio,ITA,F,1.80,76,15-07-76,Rome,Genoa,Bologna,2010,Italian
10,10,Gastón Ramírez,URU,M,1.83,77,02-12-90,Fray Bentos,Peñarol,Bologna,2010,Italian
11,11,Manuel Gavilán,ESP,F,1.81,70,12-07-91,Mairena del Aljarafe,Betis,Bologna,2010,Italian
12,12,Albin Ekdal,SWE,M,1.86,75,28-07-89,Bromma,Juventus,Bologna,2010,Italian
