,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Stephane  Porato,G,"6'00""",11  11,19-09-73,Colombes,Monaco,Ajaccio,2005,French
4,4,Antonio  Carlos,D,"6'00""",12  01,22-06-83,Rio de  Janeiro,Fluminense,Ajaccio,2005,French
5,5,Martial Robin,D,"5'08""",11 11,27-08-77,Marseille,Marseille,Ajaccio,2005,French
6,6,Rodrigo  Lacerda Ramos,M,"6'00""",12  08,06-10-80,São  Bernardo da Campo,Atlético  Mineiro,Ajaccio,2005,French
7,7,Romain Rocchi,M,"6'00""",11 11,02-10-81,Cavaillon,Paris  St-Germain,Ajaccio,2005,French
8,8,Rafik  Saïfi,M,5'10'',11 05,07-02-75,Alger,Istres,Ajaccio,2005,French
9,9,Lucas Pereira,F,"6'00""",12  10,02-05-82,Campinas,Portuguesa,Ajaccio,2005,French
10,10,Edson  Marcelo de Faria,M,"5'11""",12  01,02-08-79,Curitiba,San  Luis,Ajaccio,2005,French
11,11,Mathieu  Scarpelli,M,"6'00""",11  11,23-07-81,Grenoble,Cassis,Ajaccio,2005,French
12,12,Christophe  Mandrichi,F,"6'00""",12  11,03-06-84,Bastia,Corte,Ajaccio,2005,French
13,13,Frédéric Danjou,D,"6'00""",12 01,28-09-74,Clamart,Caen,Ajaccio,2005,French
14,14,Moussa  N'Diaye,M,"5'10""",12  08,20-02-79,Pire,Istres,Ajaccio,2005,French
15,15,Fabien Laurenti,D,"5'11""",11 11,06-01-83,Marseille,Marseille,Ajaccio,2005,French
16,16,Stéphane Trévisan,G,"5'11""",11 13,01-05-73,Toulouse,Marseille,Ajaccio,2005,French
18,18,Nenad  Dzodic,D,"6'02""",11  11,04-01-77,Belgrade,Vitória Guimarães,Ajaccio,2005,French
19,19,Kaba Diawara,F,"5'10""",11  06,16-12-75,Toulon,Al-Ittihad,Ajaccio,2005,French
21,21,Kamel Chafni,M,"5'11""",11 00,11-06-82,Bordeaux,Châteauroux,Ajaccio,2005,French
22,22,Djamel  Abnoun,M,"5'09""",10  03,14-02-86,Montreuil-sous-Bois,Paris FC,Ajaccio,2005,French
23,23,Franklin  Anzite,M,"6'05""",12  08,11-02-85,Bangui,Paris  FC,Ajaccio,2005,French
24,24,Giany  Joinville,D,"6'03""",14  00,01-07-84,Saint  Claude,Gueugnon,Ajaccio,2005,French
25,25,Xavier Collin,D,"5'08""",10 09,17-08-74,Charmes,Gueugnon,Ajaccio,2005,French
27,27,Daouda Jabi,D,"5'10""",12 06,10-04-81,Pelundo,Lens,Ajaccio,2005,French
28,28,André  Luiz Moriera,M,"6'00""",12  06,11-01-74,São  Paulo,Fluminense,Ajaccio,2005,French
29,29,Xavier Becas,F,"5'07""",09 06,30-05-79,Tarbes,Sedan,Ajaccio,2005,French
30,30,Florian Lucchini,G,"6'00""",12 08,13-02-81,Perpignan,GFCO Ajaccio,Ajaccio,2005,French
33,33,Jean-Toussaint Moretti,M,"5'08""",10 01,12-03-80,Ajaccio,None,Ajaccio,2005,French
34,34,Anthony Baron,D,"6'02""",11 07,09-04-86,Ajaccio,None,Ajaccio,2005,French
41,99,Mickaël  Marquet,F,"6'01""",12  04,10-12-81,Alfortville,Dijon,Ajaccio,2005,French
