,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,David  Mahoney,G,"6'02""",14  04,14-04-81,Wellesley,Cornell  Univ,Chicago Fire,2005,USA
2,2,CJ  Brown,D,6'00'',13  03,15-06-75,Hayward,San  Francisco Bay Seals,Chicago Fire,2005,USA
3,3,Samuel  Caballero,D,"6'01""",12  02,24-12-74,Tegucigalpa,Nacional [URU],Chicago Fire,2005,USA
4,4,Leonard  Griffin,D,"6'01""",13  03,11-09-82,Pasadena,UCLA,Chicago Fire,2005,USA
5,5,Jim  Curtin,D,6'04'',14  09,23-06-79,Oreland,Villanova,Chicago Fire,2005,USA
6,6,Demetrius  White,M,"5'09""",12  07,26-07-85,Milwaukee,None,Chicago Fire,2005,USA
7,7,John  Thorrington,M,"5'07""",10  05,17-10-79,Johannesburg,Grimsby  T,Chicago Fire,2005,USA
8,8,Lubos  Reiter,F,"5'11""",11  09,03-12-74,Stopkov,Sigma  Olomouc,Chicago Fire,2005,USA
9,9,Chad  Barrett,F,"5'11""",12  12,30-04-85,Beaverton,UCLA,Chicago Fire,2005,USA
11,11,Nate  Jaqua,F,6'03'',12  12,28-10-81,Eugene,Univ  of Portland,Chicago Fire,2005,USA
12,12,Logan  Pause,D,5'10'',11  01,22-08-81,Raleigh,Univ of  North Carolina,Chicago Fire,2005,USA
13,13,Jack  Stewart,D,"6'02""",12  12,29-05-83,Torrance,Univ  of Notre Dame,Chicago Fire,2005,USA
14,14,Chris  Armas,M,5'07'',10  10,27-07-72,Bronx,LA  Galaxy,Chicago Fire,2005,USA
15,15,Jesse  Marsch,M,5'11'',12  02,08-11-73,Racine,DC  United,Chicago Fire,2005,USA
16,16,Will  John,M,"5'09""",10  05,13-06-85,Overland  Park,St  Louis Univ,Chicago Fire,2005,USA
17,17,Chris  Rolfe,F,"5'08""",10  05,17-01-83,"Kettering,  OH",Univ  of Dayton,Chicago Fire,2005,USA
18,18,Matthew  Pickens,G,"6'03""",14  04,05-04-82,Washington,SW  Missouri State Univ,Chicago Fire,2005,USA
19,19,Craig  Capano,M,5'07'',10  00,07-07-85,Hyde  Park,US  U-17s,Chicago Fire,2005,USA
20,20,Anthony  Sanneh,D,6'02'',13  08,01-06-71,Minnesota,Columbus Crew,Chicago Fire,2005,USA
21,21,Justin  Mapp,M,5'10'',10  00,18-10-84,Brandon,DC  United,Chicago Fire,2005,USA
22,22,Scott Buete,M,"5'08""",11  06,23-07-80,Phoenix,Univ  of Maryland,Chicago Fire,2005,USA
23,23,Iván Guerrero,D,"5'07""",11  01,30-11-77,Comayagua,Peñarol,Chicago Fire,2005,USA
24,24,Zach  Thornton,G,6'03'',15  00,10-10-73,Edgewood,Benfica,Chicago Fire,2005,USA
25,25,Gonzalo  Segares,D,"5'11""",11  08,13-10-82,San  Jose,Virginia  C'wealth Univ,Chicago Fire,2005,USA
27,27,Andy  Herron,F,"5'09""",11  01,02-03-78,Puerto  Limon,CS  Herediano,Chicago Fire,2005,USA
28,28,Jared  Montz,D,"5'10""",11  08,26-12-82,Mandeville,Lynn  Univ,Chicago Fire,2005,USA
29,29,Thiago  de Rosa Correa,M,"5'07""",10  07,07-04-82,Porto  Alegre,Pinhalense,Chicago Fire,2005,USA
30,30,Will  Johnson,F,"5'10""",11  06,21-01-87,Woodridge,St  Louis Univ,Chicago Fire,2005,USA
34,34,Andy  Rosenband,M,"5'07""",11  06,27-04-81,Hammond,Chicago  Storm,Chicago Fire,2005,USA
1,1,Martín  Zúñiga,G,"5'11""",11  11,06-08-70,Tampico,Guadalajara,Chivas USA,2005,USA
2,2,Orlando  Perez,D,6'02'',11  11,12-07-77,Los  Angeles,Chicago  Fire,Chivas USA,2005,USA
5,5,Ezra  Hendrickson,D,6'03'',13  03,16-01-72,St Vicent,DC United,Chivas USA,2005,USA
6,6,Francisco  Mendoza,M,"5'05""",08  13,29-04-85,El  Salto,Guadalajara,Chivas USA,2005,USA
7,7,Ramon  Ramirez,M,"5'07""",11  06,05-12-69,Tepic,Guadalajara,Chivas USA,2005,USA
8,8,Francisco  Gomez,M,5'11'',12  02,25-01-79,Watsonville,Kansas City  Wizards,Chivas USA,2005,USA
9,9,Isaac  Romo,F,"6'02""",12  02,23-03-83,Guadalajara,Guadalajara,Chivas USA,2005,USA
10,10,Hector  Cuadros,M,"5'10""",11  06,20-03-83,Guadalajara,Guadalajara,Chivas USA,2005,USA
11,11,Milton  Blanco,F,"5'11""",12  02,27-04-84,Fresno,Frenso  Pacific Univ,Chivas USA,2005,USA
12,12,Mike  Munoz,M,"5'08""",10  10,14-09-83,Los  Alamitos,Univ  of California,Chivas USA,2005,USA
13,13,Rodrigo  López,M,"5'07""",10  00,10-05-87,Harbor  City,Guadalajara,Chivas USA,2005,USA
14,14,Victor  Arbelaez,D,"5'11""",12  02,08-07-82,Las  Vegas,San  Jose Earthquakes,Chivas USA,2005,USA
15,15,Juan  Francisco Palencia,F,"5'09""",11  03,28-04-73,Mexico City,Guadalajara,Chivas USA,2005,USA
16,16,Antonio  Martinez,M,5'07'',10  00,09-07-77,Carson,Necaxa,Chivas USA,2005,USA
17,17,Christian  Jimenez,M,"5'10""",11  11,03-11-86,San  Dimas,Univ  of Sth Florida,Chivas USA,2005,USA
18,18,Brad  Guzan,G,"6'04""",15  00,09-09-84,Home  Glen,Univ  of Sth Carolina,Chivas USA,2005,USA
