,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Serkan Kirintili,G,"5'10""",11 05,15-02-85,Karataş,Adanaspor,Ankaragücü,2005,Turkish
2,2,Fehmi  Emre Güngör,D,"5'11""",12 04,01-08-84,Istanbul,Türk  Telekom,Ankaragücü,2005,Turkish
3,3,Sedat Bayrak,M,"6'02""",13 10,10-04-81,Yomra,Sebatspor,Ankaragücü,2005,Turkish
4,4,Hakan Kutlu,D,"6'00""",11 11,14-01-72,Amasya,None,Ankaragücü,2005,Turkish
8,8,Robson  Assis,M,"5'06""",10  06,30-08-88,Salvador,None,Ankaragücü,2005,Turkish
9,9,Birol Aksancak,F,"6'00""",12  06,08-04-79,Güdül,Manisaspor,Ankaragücü,2005,Turkish
10,10,Umut Bulut,F,"6'00""",11 07,15-03-83,Yeşilhisar,Petrolofisi,Ankaragücü,2005,Turkish
12,12,Niyazi Güney,M,"5'09""",11 03,26-04-74,Trabzon,Diyarbakispor,Ankaragücü,2005,Turkish
14,14,Ayhan Evren,D,"5'08""",10 03,13-02-82,,PSV,Ankaragücü,2005,Turkish
16,16,Ivailo  Petkov,D,"5'11""",11  11,24-03-76,Dolni  Dabnik,Kuban  Krasnodar,Ankaragücü,2005,Turkish
17,17,Ibrahim Yavuz,D,"5'10""",11 05,10-11-82,Istanbul,Galatasaray,Ankaragücü,2005,Turkish
19,19,Aytekin  Viduşlu,M,"6'00""",12  06,28-02-78,Manisa,Istanbulspor,Ankaragücü,2005,Turkish
20,20,Herve Xavier Zengue,M,"5'09""",12  06,22-01-84,Yaoundé,Fovu  de Behem,Ankaragücü,2005,Turkish
21,21,Onur  Acar,D,"5'09""",12  01,01-01-83,Ankara,None,Ankaragücü,2005,Turkish
24,24,Mert  Erdoğan,M,,,01-03-89,Ereğli,None,Ankaragücü,2005,Turkish
25,25,Elvir  Baljić,F,"6'01""",12 06,08-07-74,Sarajevo,Konyaspor,Ankaragücü,2005,Turkish
26,26,Ilhan Mansiz,F,"6'00""",12  06,10-08-75,Munich,Hertha  Berlin,Ankaragücü,2005,Turkish
28,28,Erman Güraçar,D,"6'00""",11 03,24-08-74,Ankara,Gaziantepspor,Ankaragücü,2005,Turkish
32,32,Charles-Edouard Coridon,M,"6'01""",13 09,09-04-73,Saint-François,Paris  St-Germain,Ankaragücü,2005,Turkish
34,34,Orkun Uşak,G,"6'00""",12  08,05-11-80,Istanbul,Elaziğspor,Ankaragücü,2005,Turkish
35,35,Ali  Ölmez,D,"6'00""",,21-08-83,Izmir,Altay,Ankaragücü,2005,Turkish
38,38,Burak Karaduman,M,"5'09""",11  05,23-02-85,Ankara,None,Ankaragücü,2005,Turkish
41,50,Murat Duruer,M,"5'10""",10  06,15-01-88,Gerede,None,Ankaragücü,2005,Turkish
42,53,Evren Erdeniz,M,"5'10""",11 03,03-04-83,Pazar,Rizespor,Ankaragücü,2005,Turkish
43,61,Abdurrahman Dereli,D,"5'08""",11 05,15-02-81,Trabzon,Sebatspor,Ankaragücü,2005,Turkish
44,77,Okan  Koç,M,"6'00""",12  04,22-01-82,Sakarya,Beşiktaş,Ankaragücü,2005,Turkish
45,82,Ergin  Pektaş,,,,03-03-87,Mecitözü,None,Ankaragücü,2005,Turkish
46,83,Hakan  Gedik,G,,,31-03-83,Merzifon,Merzifonspor,Ankaragücü,2005,Turkish
47,88,Umut Salginoğlu,D,"5'09""",11  05,01-01-88,Konya,Şekerspor,Ankaragücü,2005,Turkish
48,90,Heverton,F,"5'07""",10  10,28-10-85,Brasília,Guaraní  [BRA],Ankaragücü,2005,Turkish
49,99,Ahmed  Belal,F,"5'10""",11  09,20-08-80,Sharkia,Konyaspor,Ankaragücü,2005,Turkish
1,1,Dragoslav Jevric,G,"6'02""",13 08,08-07-74,Berane,Vitesse Arnhem,Ankaraspor,2005,Turkish
2,2,Adam Petrou,D,"6'02""",12 04,19-09-77,Prague,Sparta  Prague,Ankaraspor,2005,Turkish
3,3,Radoslav Batak,D,"6'02""",13 03,15-08-77,Vrbas,Dynamo  Moscow,Ankaraspor,2005,Turkish
