,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Bartosz Karwan,M,"5'11""",11 11,13-01-76,Tychy,Legia  Warszawa,Arka Gdynia,2006,Polish
3,3,Łukasz Kowalski,D,"6'00""",12 08,01-12-80,Łaszczów,Hetman Zamość,Arka Gdynia,2006,Polish
4,4,Ireneusz Kościelniak,D,"6'00""",12 13,16-01-74,Katowice,Górnik Łęczna,Arka Gdynia,2006,Polish
5,5,Krzysztof Sobieraj,M,"6'02""",13 10,25-08-81,Kielce,Tłoki Gorzyce,Arka Gdynia,2006,Polish
6,6,Tomasz Sokołowski II,D,"5'09""",10 08,27-04-77,Dębica,Legia II Warszawa,Arka Gdynia,2006,Polish
7,7,Dariusz Ulanowski,M,"5'07""",10 12,03-03-71,Słupsk,Pogoń Lębork,Arka Gdynia,2006,Polish
8,8,Radosław Wróblewski,M,"5'10""",11 11,01-05-80,Bydgoszvz,Legia Warszawa,Arka Gdynia,2006,Polish
9,9,Paweł  Weinar,M,"5'11""",11  09,24-08-77,Kraków,Okocimski KS Brzesko,Arka Gdynia,2006,Polish
10,10,Damian Nawrocik,F,"5'10""",10 12,03-07-80,Poznań,Lech Poznań,Arka Gdynia,2006,Polish
12,12,Maciej Palczewski,G,"6'05""",12 08,01-02-82,Kraków,Garbarnia Kraków,Arka Gdynia,2006,Polish
13,13,Grzegorz Jakosz,D,"6'02""",12 08,28-09-79,Racibórz,Polonia Warszawa,Arka Gdynia,2006,Polish
14,14,Piotr Jawny,D,"6'02""",13 03,18-10-71,Wrocław,Hakoah Ramat-Gan,Arka Gdynia,2006,Polish
15,15,Grzegorz Pilch,F,"5'11""",12 04,20-12-76,Bielsko-Biała,Górnik Polkowice,Arka Gdynia,2006,Polish
16,16,Grzegorz Niciński,F,"6'01""",12 06,16-05-73,Gdynia,Zagłębie Lubin,Arka Gdynia,2006,Polish
17,17,Piotr Bazler,M,"6'00""",12 04,13-04-81,,Drwęca Nowe Miasto,Arka Gdynia,2006,Polish
18,18,Marcin Wachowicz,M,"5'11""",11 07,14-02-81,Choszczno,Lech Poznań,Arka Gdynia,2006,Polish
19,19,David Kalousek,D,"5'08""",10 12,13-05-75,Hradec Králové,Zagłębie Lubin,Arka Gdynia,2006,Polish
20,20,Bartosz Ława,M,"5'09""",10 10,26-02-79,Trzebiatów,Widzew Łódź,Arka Gdynia,2006,Polish
21,21,Mateusz Kołodziejski,F,"5'11""",12 01,20-08-86,Gdynia,None,Arka Gdynia,2006,Polish
22,22,Janusz Dziedzic,F,"5'11""",12 04,18-06-80,Dębica,GKS Bełchatów,Arka Gdynia,2006,Polish
23,23,Tomasz Mazurkiewicz,M,"5'11""",11 05,23-11-81,Sopot,SønderjyskE,Arka Gdynia,2006,Polish
29,29,Krzysztof Przytuła,M,"6'00""",12 00,17-02-79,Kraków,Cracovia Kraków,Arka Gdynia,2006,Polish
30,30,Adrian  Stępień,M,"6'00""",09  06,25-01-88,Olsztyn,Legia  II Warszawa,Arka Gdynia,2006,Polish
