Number,Name,Nat,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
1,Manuel Almunia,ESP,G,16-05-77,Pamplona,Celta Vigo,Arsenal,2009
2,Abou Diaby,FRA,M,05-11-86,Paris,Auxerre,Arsenal,2009
3,Bacary Sagna,FRA,D,14-02-83,Sens,Auxerre,Arsenal,2009
4,Cesc Fàbregas,ESP,M,05-04-87,Arenys de Mar,Barcelona,Arsenal,2009
5,Thomas Vermaelen,BEL,D,14-11-85,Kapellen,Ajax,Arsenal,2009
7,Tomáš Rosický,CZE,M,10-04-80,Prague,Borussia Dortmund,Arsenal,2009
8,Samir Nasri,FRA,M,26-06-87,Marseille,Marseille,Arsenal,2009
9,Eduardo,CRO,F,25-02-83,Rio de Janeiro,Dinamo Zagreb,Arsenal,2009
10,William Gallas,FRA,D,17-08-77,Asnieres,Chelsea,Arsenal,2009
11,Robin van Persie,NED,F,08-06-83,Rotterdam,Feyenoord,Arsenal,2009
12,Carlos Vela,MEX,F,03-01-89,Cancún,Guadalajara,Arsenal,2009
14,Theo Walcott,ENG,F,16-03-89,Stanmore,Southampton,Arsenal,2009
15,Denílson,BRA,M,16-02-88,São Paulo,São Paulo,Arsenal,2009
16,Aaron Ramsey,WAL,M,26-12-90,Caerphilly,Cardiff C,Arsenal,2009
17,Alexandre Song,CMR,M,09-09-87,Douala,Bastia,Arsenal,2009
18,Mikaël Silvestre,FRA,D,08-09-77,Chambray-Les-Tours,Manchester U,Arsenal,2009
20,Johan Djourou,SUI,D,18-01-87,Abidjan,Etoile-Carouge,Arsenal,2009
21,Łukasz Fabiański,POL,G,18-04-85,Kostrzyn nad Odrą,Legia Warszawa,Arsenal,2009
22,Gaël Clichy,FRA,D,26-07-85,Toulouse,Cannes,Arsenal,2009
23,Andrey Arshavin,RUS,M,29-05-81,St. Petersburg,Zenit St. Petersburg,Arsenal,2009
24,Vito Mannone,ITA,G,03-02-88,Desio,Atalanta,Arsenal,2009
27,Emmanuel Eboué,CIV,D,06-04-83,Abidjan,Beveren,Arsenal,2009
28,Kieran Gibbs,ENG,D,26-09-89,Lambeth,None,Arsenal,2009
30,Armand Traoré,FRA,D,10-08-89,Paris,Monaco,Arsenal,2009
31,Sol Campbell,ENG,D,18-09-74,Newham,Notts Co,Arsenal,2009
32,Fran Mérida,ESP,M,03-04-90,Barcelona,Barcelona,Arsenal,2009
33,Nacer Barazite,NED,M,27-05-90,Arnhem,NEC Nijmegen,Arsenal,2009
34,Kyle Bartley,ENG,D,22-05-91,Manchester,Bolton W,Arsenal,2009
35,Francis Coquelin,FRA,M,13-05-91,Laval,Laval,Arsenal,2009
36,Thomas Cruise,ENG,D,03-09-91,Islington,None,Arsenal,2009
37,Craig Eastmond,ENG,D,12-09-90,Wandsworth,None,Arsenal,2009
38,Jay Emmanuel-Thomas,ENG,M,27-12-90,Forest Gate,None,Arsenal,2009
39,Cédric Evina,FRA,D,16-11-91,,None,Arsenal,2009
40,Luke Freeman,ENG,F,22-03-92,Dartford,Gillingham,Arsenal,2009
41,Emmanuel Frimpong,ENG,M,01-10-92,Accra,None,Arsenal,2009
42,Kerrea Gilbert,ENG,D,28-02-87,Hammersmith,None,Arsenal,2009
43,Conor Henderson,IRL,M,09-08-91,Sidcup,None,Arsenal,2009
45,Henri Lansbury,ENG,M,10-12-90,Enfield,None,Arsenal,2009
46,Luke Ayling,ENG,D,25-08-91,Lambeth,None,Arsenal,2009
47,Rhys Murphy,ENG,F,11-06-90,Shoreham-by-Sea,None,Arsenal,2009
49,James Shea,ENG,G,16-06-91,Islington,None,Arsenal,2009
51,Gilles Sunu,FRA,F,30-03-91,Châteauroux,Châteauroux,Arsenal,2009
52,Nicklas Bendtner,DEN,F,16-01-88,Copenhagen,FC København,Arsenal,2009
54,Sanchez Watt,ENG,M,14-02-91,Hackney,None,Arsenal,2009
1,Brad Friedel,USA,G,18-05-71,Lakewood,Blackburn R,Aston Villa,2009
2,Luke Young,ENG,D,19-07-79,Harlow,Middlesbrough,Aston Villa,2009
3,Wilfred Bouma,NED,D,15-06-78,Helmond,PSV Eindhoven,Aston Villa,2009
4,Steve Sidwell,ENG,M,14-12-82,Wandsworth,Chelsea,Aston Villa,2009
5,Richard Dunne,IRL,D,21-09-79,Dublin,Manchester C,Aston Villa,2009
6,Stewart Downing,ENG,M,22-07-84,Middlesbrough,Middlesbrough,Aston Villa,2009
7,Ashley Young,ENG,M,07-09-85,Stevenage,Watford,Aston Villa,2009
8,James Milner,ENG,M,01-04-86,Wortley,Newcastle U,Aston Villa,2009
9,Marlon Harewood,ENG,F,25-08-79,Hampstead,West Ham U,Aston Villa,2009
10,John Carew,NOR,F,09-05-79,Lørenskog,Lyon,Aston Villa,2009
