Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
1,Jens Lehmann,G,11-10-69,Essen,Borussia Dortmund,Arsenal,2007
2,Abou Diaby,M,05-11-86,Paris,Auxerre,Arsenal,2007
3,Bakari Sagna,D,14-02-83,Sens,Auxerre,Arsenal,2007
4,Cesc Fábregas,M,05-04-87,Arenys de Mar,Barcelona,Arsenal,2007
5,Kolo Touré,D,19-03-81,Sokoura Bouaké,ASEC Mimosas,Arsenal,2007
6,Philippe Senderos,D,14-02-85,Geneva,Servette,Arsenal,2007
7,Tomáš Rosický,M,10-04-80,Prague,Borussia Dortmund,Arsenal,2007
9,Eduardo,F,25-02-83,Rio de Janeiro,Dinamo Zagreb,Arsenal,2007
10,William Gallas,D,17-08-77,Asnieres,Chelsea,Arsenal,2007
11,Robin van Persie,M,08-06-83,Rotterdam,Feyenoord,Arsenal,2007
13,Aliaksandr Hleb,M,05-01-81,Minsk,Stuttgart,Arsenal,2007
15,Denílson,M,16-02-88,São Paulo,São Paulo,Arsenal,2007
16,Mathieu Flamini,M,03-07-84,Marseille,Marseille,Arsenal,2007
17,Alexandre Song,M,04-09-87,Douala,Bastia,Arsenal,2007
19,Gilberto Silva,M,10-07-76,Lagoa da Prata,Atlético Mineiro,Arsenal,2007
20,Johan Djourou,D,18-01-87,Abidjan,Etoile-Carouge,Arsenal,2007
21,Łukasz Fabiański,G,18-04-85,Kostrzyn nad Odrą,Legia Warszawa,Arsenal,2007
22,Gaël Clichy,D,26-07-85,Toulouse,Cannes,Arsenal,2007
24,Manuel Almunia,G,16-05-77,Pamplona,Celta Vigo,Arsenal,2007
25,Emmanuel Adebayor,F,26-02-84,Lomé,Monaco,Arsenal,2007
26,Nicklas Bendtner,F,16-01-88,Copenhagen,FC København,Arsenal,2007
27,Emmanuel Eboué,D,06-04-83,Abidjan,Beveren,Arsenal,2007
30,Armand Traoré,D,10-08-89,Paris,Monaco,Arsenal,2007
31,Justin Hoyte,D,20-11-84,Waltham Forest,None,Arsenal,2007
32,Theo Walcott,F,16-03-89,Newbury,Southampton,Arsenal,2007
34,Kieran Gibbs,M,26-09-89,Lambeth,None,Arsenal,2007
35,Håvard Nordtveit,D,21-06-90,Vats,Haugesund,Arsenal,2007
37,Paul Rodgers,D,10-06-89,Edmonton,None,Arsenal,2007
38,Jay Simpson,M,12-01-88,London,None,Arsenal,2007
39,Henri Lansbury,M,10-12-90,Enfield,None,Arsenal,2007
40,Vito Mannone,G,03-02-88,Desio,Atalanta,Arsenal,2007
41,Gavin Hoyte,D,06-06-90,Waltham Forest,None,Arsenal,2007
43,Nacer Barazite,M,27-05-90,Arnhem,NEC Nijmegen,Arsenal,2007
44,Abu Ogogo,D,11-03-89,Epsom,Wimbledon,Arsenal,2007
45,James Dunne,M,18-09-89,Farnborough,Wimbledon,Arsenal,2007
46,Kerrea Gilbert,D,28-02-87,Hammersmith,None,Arsenal,2007
47,Rene Steer,D,31-01-90,Luton,None,Arsenal,2007
1,Thomas Sørensen,G,06-12-76,Fredericia,Sunderland,Aston Villa,2007
3,Wilfred Bouma,D,15-06-78,Helmond,PSV Eindhoven,Aston Villa,2007
4,Olof Mellberg,D,09-03-77,Amncharad,Racing Santander,Aston Villa,2007
5,Martin Laursen,D,26-07-77,Farvoug,Milan,Aston Villa,2007
6,Gareth Barry,D,23-02-81,Hastings,None,Aston Villa,2007
7,Ashley Young,M,07-09-85,Stevenage,Watford,Aston Villa,2007
8,Luke Moore,F,13-02-86,Birmingham,None,Aston Villa,2007
9,Marlon Harewood,F,25-08-79,Hampstead,West Ham U,Aston Villa,2007
10,John Carew,F,09-05-79,Lørenskog,Lyon,Aston Villa,2007
11,Gabriel Agbonlahor,F,13-10-86,Birmingham,None,Aston Villa,2007
13,Stuart Taylor,G,28-11-80,Romford,Arsenal,Aston Villa,2007
14,Nathan Delfouneso,F,02-02-91,,None,Aston Villa,2007
15,Curtis Davies,D,15-03-85,London,WBA,Aston Villa,2007
16,Zatyai Knight,D,05-02-80,Solihull,Fulham,Aston Villa,2007
17,Moustapha Salifou,M,06-01-83,Lomé,FC Wil,Aston Villa,2007
18,Wayne Routledge,M,01-07-85,Eltham,Tottenham H,Aston Villa,2007
19,Stiliyan Petrov,M,07-05-79,Montana,Celtic,Aston Villa,2007
20,Nigel Reo-Coker,M,14-05-84,Southwark,West Ham U,Aston Villa,2007
22,Scott Carson,G,09-03-85,Whitehaven,Liverpool,Aston Villa,2007
23,Patrik Berger,M,11-10-73,Prague,Portsmouth,Aston Villa,2007
26,Craig Gardner,M,25-11-86,Solihull,None,Aston Villa,2007
27,Isaiah Osbourne,M,11-05-87,Birmingham,None,Aston Villa,2007
28,Shaun Maloney,F,24-01-83,Mirri,Celtic,Aston Villa,2007
29,Stephen O'Halloran,D,29-11-87,Cork,None,Aston Villa,2007
1,Maik Taylor,G,09-04-71,Hildeshein,Fulham,Birmingham City,2007
2,Stephen Kelly,D,09-06-83,Dublin,Tottenham H,Birmingham City,2007
4,Martin Taylor,D,11-09-79,Ashington,Blackburn R,Birmingham City,2007
5,Rafael Schmitz,D,17-12-80,Blunemau,Lille,Birmingham City,2007
6,Liam Ridgewell,D,21-07-84,Bexley,Aston Villa,Birmingham City,2007
7,Sebastian Larsson,M,06-06-85,Eskiltuna,Arsenal,Birmingham City,2007
8,Garry O'Connor,F,05-07-83,Edinburgh,Lokomotiv Moscow,Birmingham City,2007
9,Mikael Forssell,F,15-03-81,Steinfurt,Chelsea,Birmingham City,2007
10,Cameron Jerome,F,14-08-86,Huddersfield,Cardiff C,Birmingham City,2007
11,Gary McSheffrey,F,13-08-81,Coventry,Coventry C,Birmingham City,2007
12,Mehdi Nafti,M,28-11-78,Toulouse,Racing Santander,Birmingham City,2007
13,Colin Doyle,G,08-12-85,Cork,None,Birmingham City,2007
14,David Murphy,D,06-01-84,Hartlepool,Hibernian,Birmingham City,2007
15,Franck Queudrue,D,25-08-78,Paris,Fulham,Birmingham City,2007
16,James McFadden,F,14-04-83,Glasgow,Everton,Birmingham City,2007
18,Richard Kingson,G,13-06-78,Accra,Ankaraspor,Birmingham City,2007
19,Mauro Zárate,F,18-03-87,Haedo,Al Sadd,Birmingham City,2007
20,Daniël de Ridder,F,03-06-84,Amsterdam,Celta Vigo,Birmingham City,2007
21,Stuart Parnaby,D,19-07-82,Durham,Middlesbrough,Birmingham City,2007
22,Damien Johnson,M,18-11-78,Lisburn,Blackburn R,Birmingham City,2007
23,Olivier Kapo,F,27-09-80,Abidjan,Juventus,Birmingham City,2007
24,Radhi Jaidi,D,30-08-75,Tunis,Bolton W,Birmingham City,2007
26,Fabrice Muamba,M,04-06-88,Kinshasa,Arsenal,Birmingham City,2007
30,Krystian Pearce,D,01-05-90,Birmingham,None,Birmingham City,2007
31,Jordon Mutch,M,12-02-91,,Derby Co,Birmingham City,2007
1,Brad Friedel,G,18-05-71,Lakewood,Liverpool,Blackburn Rovers,2007
2,André Ooijer,D,07-11-74,Amsterdam,PSV,Blackburn Rovers,2007
3,Stephen Warnock,D,12-12-81,Ormskirk,Liverpool,Blackburn Rovers,2007
4,Christopher Samba,D,28-03-84,Créteil,Hertha Berlin,Blackburn Rovers,2007
5,Tugay Kerimoğlu,M,24-08-70,Istanbul,Rangers,Blackburn Rovers,2007
6,Ryan Nelsen,D,18-10-77,Christchurch,DC United,Blackburn Rovers,2007
7,Brett Emerton,M,22-02-79,Bankstown,Feyenoord,Blackburn Rovers,2007
8,Johann Vogel,M,03-08-77,Geneva,Betis,Blackburn Rovers,2007
9,Roque Santa Cruz,F,16-08-81,Asunción,Bayern Munich,Blackburn Rovers,2007
10,Benni McCarthy,F,12-11-77,Ciudad de Cabo,Porto,Blackburn Rovers,2007
11,David Bentley,F,27-08-84,Peterborough,Arsenal,Blackburn Rovers,2007
12,Morten Gamst Pedersen,M,09-08-81,Vadsø,Tromsø,Blackburn Rovers,2007
13,Zurab Khizanishvili,D,10-06-81,Tbilisi,Rangers,Blackburn Rovers,2007
14,Steven Reid,M,03-10-81,Kingston,Millwall,Blackburn Rovers,2007
15,Aaron Mokoena,D,25-11-80,Johannesburg,KRC Genk,Blackburn Rovers,2007
16,Stéphane Henchoz,D,09-07-74,Billens,Wigan Ath,Blackburn Rovers,2007
17,Maceo Rigters,F,22-01-84,Amsterdam,NAC Breda,Blackburn Rovers,2007
19,David Dunn,M,27-12-79,Blackburn,Birmingham C,Blackburn Rovers,2007
20,Bruno Berner,M,21-11-77,Zürich,Basel,Blackburn Rovers,2007
21,Sergio Peter,M,10-12-86,Ludwigshafen,None,Blackburn Rovers,2007
22,Keith Treacy,M,13-09-88,Dublin,None,Blackburn Rovers,2007
26,Eddie Nolan,D,08-05-88,Waterford,None,Blackburn Rovers,2007
27,Matt Derbyshire,F,14-04-86,Great Harwood,Great Harwood T,Blackburn Rovers,2007
28,Tony Kane,D,29-08-87,Belfast,None,Blackburn Rovers,2007
29,Martin Olsson,D,17-05-88,,Högaborgs BK,Blackburn Rovers,2007
30,Jason Roberts,F,25-01-78,Park Royal,Wigan Ath,Blackburn Rovers,2007
32,Jason Brown,G,18-05-82,Southwark,Gillingham,Blackburn Rovers,2007
34,Gunnar Nielsen,G,10-07-86,,Frem,Blackburn Rovers,2007
35,Dean Winnard,D,20-08-89,Wigan,None,Blackburn Rovers,2007
36,Josh O'Keefe,M,22-12-88,Whalley,None,Blackburn Rovers,2007
38,Jamie Clarke,F,09-11-88,,None,Blackburn Rovers,2007
44,Raffaele Di Vita,F,23-09-87,Rome,None,Blackburn Rovers,2007
45,Bryan Hodge,M,23-09-87,Hamilton,None,Blackburn Rovers,2007
2,Nicky Hunt,D,09-03-83,Westhoughton,None,Bolton Wanderers,2007
3,Jlloyd Samuel,D,29-03-81,San Fernando,Aston Villa,Bolton Wanderers,2007
4,Kevin Nolan,M,24-06-82,Liverpool,None,Bolton Wanderers,2007
5,Abdoulaye Méité,D,06-10-80,Paris,Marseille,Bolton Wanderers,2007
7,Stelios Giannakopoulos,M,07-12-74,Athens,Olympiakos,Bolton Wanderers,2007
8,Ivan Campo,M,21-02-74,San Sebastián,Real Madrid,Bolton Wanderers,2007
9,Heidar Helguson,F,22-08-77,Akureyri,Fulham,Bolton Wanderers,2007
11,Ricardo Gardner,M,25-09-78,St Andrews,Harbour View,Bolton Wanderers,2007
12,Ian Walker,G,31-10-71,Watford,Leicester C,Bolton Wanderers,2007
14,Kevin Davies,F,26-03-77,Sheffield,Southampton,Bolton Wanderers,2007
15,Grétar Rafn Steinsson,D,01-09-82,Siglufjördur,AZ Alkmaar,Bolton Wanderers,2007
16,Andranik Teymourian,M,03-06-83,Tehran,Abu Moslem,Bolton Wanderers,2007
17,Danny Guthrie,M,18-04-87,Shrewsbury,Liverpool,Bolton Wanderers,2007
18,Mikel Alonso,M,16-05-80,Tolosa,Real Sociedad,Bolton Wanderers,2007
19,Gavin McCann,M,01-10-78,Blackpool,Aston Villa,Bolton Wanderers,2007
20,Ricardo Vaz Té,F,10-01-86,Lisbon,Farense,Bolton Wanderers,2007
21,El-Hadji Diouf,F,15-01-81,Dakar,Liverpool,Bolton Wanderers,2007
22,Jussi Jääskeläinen,G,19-04-75,Mikkeli,VPS,Bolton Wanderers,2007
23,Blerim Dzemaili,M,04-12-86,Tetovo,Zürich,Bolton Wanderers,2007
24,Joey O'Brien,M,17-02-86,Dublin,None,Bolton Wanderers,2007
25,Tamir Cohen,M,03-04-84,,Maccabi Netanya,Bolton Wanderers,2007
26,Ali Al-Habsi,G,30-12-81,Muscat,Lyn,Bolton Wanderers,2007
27,Daniel Omoya Braaten,F,25-02-82,Oslo,Rosenborg,Bolton Wanderers,2007
29,Zoltán Harsányi,F,06-01-87,,FC Senec,Bolton Wanderers,2007
31,Andy O'Brien,D,29-06-79,Harrogate,Portsmouth,Bolton Wanderers,2007
32,Matthew Taylor,M,27-11-81,Oxford,Portsmouth,Bolton Wanderers,2007
33,Gary Cahill,D,19-12-85,Sheffield,Aston Villa,Bolton Wanderers,2007
34,Ádám Bogdán,G,27-09-87,Budapest,Vasas,Bolton Wanderers,2007
36,Matthew Cassidy,M,10-02-88,Blackpool,None,Bolton Wanderers,2007
37,James Sinclair,F,22-10-87,Newcastle upon Tyne,Sunderland,Bolton Wanderers,2007
38,Robert Sissons,M,29-09-88,Stockport,None,Bolton Wanderers,2007
40,Mark Ellis,D,30-09-88,Plymouth,None,Bolton Wanderers,2007
41,Jarosław Fojut,D,17-10-87,Legionowo,MSP Szamotuły,Bolton Wanderers,2007
42,Johann Smith,F,25-04-87,Hartford,Oakwood SC,Bolton Wanderers,2007
43,Nathan Woolfe,M,10-06-88,Manchester,None,Bolton Wanderers,2007
44,Kevin Wolze,M,03-09-90,Wolfsburg,Wolfsburg,Bolton Wanderers,2007
45,Chris Basham,M,20-07-88,Hebburn,None,Bolton Wanderers,2007
46,Scott Jamieson,M,13-10-88,Auburn,Blacktown Demons,Bolton Wanderers,2007
47,Grzegorz Rasiak,F,01-12-79,Szczecin,Southampton,Bolton Wanderers,2007
1,Petr Čech,G,20-05-82,Plzeň,Rennes,Chelsea,2007
2,Branislav Ivanović,D,22-02-84,Sremska Mitrovica,Lokomotiv Moscow,Chelsea,2007
3,Ashley Cole,D,20-12-80,Stepney,Arsenal,Chelsea,2007
4,Claude Makélélé,M,18-02-73,Kinshasa,Real Madrid,Chelsea,2007
5,Michael Essien,M,12-03-82,Accra,Lyon,Chelsea,2007
6,Ricardo Carvalho,D,18-05-78,Amarante,Porto,Chelsea,2007
7,Andriy Shevchenko,F,29-09-76,Dvirkivschyna,Milan,Chelsea,2007
8,Frank Lampard,M,20-06-78,Romford,West Ham U,Chelsea,2007
9,Steve Sidwell,M,14-12-82,Wandsworth,Reading,Chelsea,2007
10,Joe Cole,M,11-08-81,Camden,West Ham U,Chelsea,2007
11,Didier Drogba,F,03-11-78,Abidjan,Marseille,Chelsea,2007
12,Mikel John Obi,M,22-04-87,Jos,Lyn,Chelsea,2007
13,Michael Ballack,M,26-09-76,Chemnitz,Bayern Munich,Chelsea,2007
14,Claudio Pizarro,F,10-03-78,Lima,Bayern Munich,Chelsea,2007
15,Florent Malouda,M,13-06-80,Cayenne,Lyon,Chelsea,2007
17,Scott Sinclair,F,25-03-89,Bath,Bristol R,Chelsea,2007
18,Wayne Bridge,D,08-05-80,Southampton,Southampton,Chelsea,2007
20,Paulo Ferreira,D,18-01-79,Lisbon,Porto,Chelsea,2007
21,Salomon Kalou,F,08-05-85,Oumé,Feyenoord,Chelsea,2007
22,Tal Ben Haim,D,31-03-82,Rishon Letzion,Bolton W,Chelsea,2007
23,Carlo Cudicini,G,09-06-73,Milan,Castel di Sangro,Chelsea,2007
24,Shaun Wright-Phillips,M,25-10-81,Greenwich,Manchester C,Chelsea,2007
26,John Terry,D,12-07-80,Barking,None,Chelsea,2007
27,Ben Sahar,F,08-10-89,Holon,Hapoel Tel-Aviv,Chelsea,2007
28,Michael Woods,M,04-06-90,York,Leeds U,Chelsea,2007
30,Rhys Taylor,G,04-07-90,Neath,None,Chelsea,2007
33,Alex,D,17-06-82,Niterói,PSV Eindhoven,Chelsea,2007
35,Belletti,D,20-06-76,Casacvel,Barcelona,Chelsea,2007
39,Nicolas Anelka,F,14-03-79,Versailles,Bolton W,Chelsea,2007
40,Hilário,G,21-10-75,São Pedro da Cova,Nacional [POR],Chelsea,2007
41,Sam Hutchinson,D,08-03-89,Slough,None,Chelsea,2007
42,Lee Sawyer,M,09-10-89,Leytonstone,None,Chelsea,2007
1,Lewis Price,G,19-07-84,Bournemouth,Ipswich T,Derby County,2007
2,Marc Edworthy,D,24-12-72,Barnstaple,Norwich C,Derby County,2007
4,James McEveley,D,02-11-85,Liverpool,Blackburn R,Derby County,2007
5,Dean Leacock,D,06-10-84,Croydon,Fulham,Derby County,2007
6,Michael Johnson,D,07-04-73,Nottingham,Birmingham C,Derby County,2007
7,David Jones ,M,11-04-84,Southport,Manchester U,Derby County,2007
8,Alan Stubbs,D,10-06-71,Kirkby,Everton,Derby County,2007
