,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Karim Zaza,G,"6'00""",12 06,09-01-75,,RW Essen,Aalborg,2007,Danish
2,2,Michael Jakobsen,D,"6'01""",12 08,02-01-86,Copenhagen,PSV Eindhoven,Aalborg,2007,Danish
3,3,Martin Pedersen,D,"5'09""",10 06,10-09-83,Aalborg,None,Aalborg,2007,Danish
4,4,Danny  Califf,D,6'01'',12  07,17-03-80,Montclair,San  Jose Earthquakes,Aalborg,2007,Danish
5,5,Jón  Rói Jacobsen,D,"6'01""",11  07,07-04-83,,Frem,Aalborg,2007,Danish
6,6,Steve Olfers,D,"5'10""",12  04,25-02-82,Haarlem,Sparta Rotterdam,Aalborg,2007,Danish
7,7,Anders  Due,F,"5'10""",10  10,17-03-82,Nykobing,Vitesse Arnhem,Aalborg,2007,Danish
8,8,Andreas Johansson,M,"5'10""",12  00,05-07-78,Vanersborg,Wigan Ath,Aalborg,2007,Danish
9,9,Thomas Augustinussen,F,"6'04""",13 03,20-03-81,Svendborg,Aabybro,Aalborg,2007,Danish
10,10,Lasse Nilsson,F,"5'11""",11 00,03-01-82,Borås,St-Etienne,Aalborg,2007,Danish
14,14,Jeppe  Curth,F,"5'10""",11  11,21-03-84,Hillerød,Feyenoord,Aalborg,2007,Danish
15,15,Siyabonga  Nomvethe,F,"5'10""",11  07,02-12-77,Kwa Mashu,Orlando  Pirates,Aalborg,2007,Danish
16,16,Allan  Olesen,D,"5'10""",11 00,25-01-74,Hoje-Taastrup,St-Etienne,Aalborg,2007,Danish
17,17,Benedict Vilakazi,M,"5'05""",09 00,08-09-82,Soweto,Orlando Pirates,Aalborg,2007,Danish
18,18,Cacá,M,"5'10""",10  10,09-10-82,Belo  Horizente,Atlético Mineiro,Aalborg,2007,Danish
20,20,Simon Bræmer,F,"5'09""",12 11,19-03-84,Copenhagen,Hjørring,Aalborg,2007,Danish
21,21,Kasper  Risgård,M,"6'00""",11 11,04-01-83,Aars,FC Nordsjælland,Aalborg,2007,Danish
23,23,Thomas  Enevoldsen,M,"5'11""",11  09,27-06-87,,None,Aalborg,2007,Danish
24,24,Jens-Kristian  Sørensen,M,"6'02""",10  10,21-03-87,Aalborg,None,Aalborg,2007,Danish
25,25,Casper Nordstrøm,D,"5'11""",12 01,03-02-89,,None,Aalborg,2007,Danish
26,26,Jacob Nordstrøm,F,"5'11""",10 12,03-02-89,,None,Aalborg,2007,Danish
27,27,Patrick  Kristensen,F,"5'08""",10  10,28-04-87,Silkeborg,None,Aalborg,2007,Danish
28,28,Emil Haucke,D,"6'03""",12 08,17-01-89,,None,Aalborg,2007,Danish
30,30,Kenneth Stenild Nielsen,G,"6'02""",12 04,11-09-87,Aalborg,None,Aalborg,2007,Danish
31,31,Lasse Nielsen,D,"6'01""",11 09,08-01-88,,Nästved,Aalborg,2007,Danish
32,32,Ronnie Schwartz,F,"6'00""",11 09,29-08-89,,None,Aalborg,2007,Danish
36,36,Daniel Christensen,M,"5'08""",10 12,19-09-88,,None,Aalborg,2007,Danish
38,38,Ivo Vazgec,G,"6'03""",13 10,06-02-86,,Larissa,Aalborg,2007,Danish
1,1,Steffen Rasmussen,G,"5'11""",13 05,30-09-82,Stenvad,Grenå IF,Aarhus,2007,Danish
2,2,Frederik Krabbe,D,"6'00""",12 01,10-03-88,,None,Aarhus,2007,Danish
3,3,Olof Persson,D,"6'01""",12 04,05-05-78,Malmö,Malmö FF,Aarhus,2007,Danish
4,4,Kim Madsen,D,6'03'',13  03,13-02-78,Roskilde,Hansa Rostock,Aarhus,2007,Danish
5,5,Ole Budtz,D,"6'05""",12 13,20-04-79,Hillerod,Kickers Offenbach,Aarhus,2007,Danish
6,6,Ulrik Lindkvist,D,"5'10""",11 07,05-03-81,Randers,FC Midtjylland,Aarhus,2007,Danish
7,7,Lars Pleidrup,M,"5'10""",10 10,13-08-81,,Lolland-Falster Alliancen,Aarhus,2007,Danish
8,8,Kári Árnason,M,"6'03""",12 06,13-10-82,Reykjavik,Djurgårdens IF,Aarhus,2007,Danish
9,9,Dioh Williams,F,"6'00""",11 00,08-01-84,,BK Häcken,Aarhus,2007,Danish
10,10,Mads  Jørgensen,M,"6'00""",10  10,10-02-79,Rymogaard,Brøndby,Aarhus,2007,Danish
11,11,Peter Graulund,F,"5'09""",11 09,20-09-76,,Helsingborgs IF,Aarhus,2007,Danish
13,13,Peter Foldgast,F,"6'00""",12 06,03-12-79,Copenhagen,RW Essen,Aarhus,2007,Danish
14,14,Jimmy Høyer,M,"5'09""",12 04,08-01-78,,Aarhus Fremad,Aarhus,2007,Danish
15,15,Jeremiah White,F,"5'08""",11 09,03-04-82,Lansdowne,Gueugnon,Aarhus,2007,Danish
17,17,Emil Lyng,M,"6'02""",13 12,03-08-89,,None,Aarhus,2007,Danish
19,19,Jens Gjesing,D,"6'02""",12 01,13-01-86,Tilst,None,Aarhus,2007,Danish
20,20,Niels Kristensen,M,"5'11""",11 00,24-04-88,,None,Aarhus,2007,Danish
21,21,Jerry Lucena,M,"5'09""",10 10,11-08-80,Esbjerg,Esbjerg,Aarhus,2007,Danish
22,22,Cheikh Sarr,D,,,15-03-87,,Lyngby,Aarhus,2007,Danish
23,23,Michael Vester,F,"5'10""",10 06,04-05-88,,None,Aarhus,2007,Danish
24,24,Razak Salifu,M,"5'07""",10 08,01-10-88,,FC Midtjylland,Aarhus,2007,Danish
25,25,Kasper Povlsen,M,"6'00""",11 09,26-09-89,,None,Aarhus,2007,Danish
26,26,Martin Mikkelsen,M,,,20-04-86,,Vejlby,Aarhus,2007,Danish
27,27,Anders Kure,D,"6'01""",12 00,12-09-85,,None,Aarhus,2007,Danish
28,28,Michael Lumb,D,"5'10""",11 00,09-01-88,Aarhus,None,Aarhus,2007,Danish
30,30,Alex Valencia,M,"5'11""",11  00,22-09-79,Bergen,Start,Aarhus,2007,Danish
31,31,Jesper Rask,G,,,18-07-88,,None,Aarhus,2007,Danish
32,32,Andreas Schultz,D,"6'02""",,08-02-86,,Randers,Aarhus,2007,Danish
33,33,Morten Hyldgaard,G,"6'06""",14 00,26-01-78,Harning,Esbjerg,Aarhus,2007,Danish
34,34,Morten Beck Andersen,F,"6'03""",14 00,02-01-88,,None,Aarhus,2007,Danish
35,35,Dennis Høegh,F,"6'00""",11 07,21-02-89,Ryomgård,None,Aarhus,2007,Danish
36,36,Jesper Blicher,M,,,04-10-88,,None,Aarhus,2007,Danish
37,37,Lasse Vibe,M,"5'11""",11 07,22-02-87,,AIA Tranbjerg,Aarhus,2007,Danish
38,38,Anders Syberg,M,,,10-05-88,,None,Aarhus,2007,Danish
2,2,Trond Andersen,D,"6'02""",11 11,06-01-75,Kristiansund,Aalborg,Brøndby,2007,Danish
3,3,Thomas Rytter,D,5'11'',11  09,06-01-74,Copenhagen,Wolfsburg,Brøndby,2007,Danish
4,4,Per Nielsen,D,"6'03""",13 08,15-10-73,Aarhus,None,Brøndby,2007,Danish
5,5,Mark  Howard,D,"6'01""",12  08,29-01-86,Manchester,Manchester  U,Brøndby,2007,Danish
6,6,Samuel Holmén,M,"5'10""",10 10,28-06-84,Annelund,IF Elfsborg,Brøndby,2007,Danish
7,7,Kasper Lorentzen,F,"5'11""",11 09,19-11-85,Hvidovre,Rosenhøj,Brøndby,2007,Danish
