,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Diego,G,"6'01""",12 08,24-06-85,Rio de Janeiro,Atlético Mineiro,Almería,2007,Spanish
2,2,Bruno Saltor,M,"5'10""",11  11,01-10-81,Barcelona,Lleida,Almería,2007,Spanish
3,3,Aitor  López Rekarte,D,5'08'',11  03,18-08-75,San  Sebastián,Real  Sociedad,Almería,2007,Spanish
4,4,Felipe Melo,M,"6'00""",11  07,26-08-83,Rio de  Janeiro,Racing Santander,Almería,2007,Spanish
5,5,Kalu Uche,F,"5'10""",11 02,15-11-82,Aba,Wisła Kraków,Almería,2007,Spanish
7,7,Veljko Paunović,F,5'11'',11  07,21-08-77,Strumica,Rubin Kazan,Almería,2007,Spanish
8,8,Albert Crusat,M,5'05'',10  03,13-05-82,Barcelona,Rayo  Vallecano,Almería,2007,Spanish
9,9,Álvaro  Negredo,F,"6'01""",12  13,02-01-84,Madrid,Real Madrid B,Almería,2007,Spanish
10,10,José Ortíz,F,5'08'',10  10,04-08-77,Almería,Almería CF,Almería,2007,Spanish
11,11,Domingo  Cisma,D,"6'00""",12  00,09-02-82,Seville,Atlético  Madrid B,Almería,2007,Spanish
12,12,Iriney,M,"5'10""",11 00,23-04-81,Humaitá,Celta Vigo,Almería,2007,Spanish
13,13,David Cobeño,G,"6'02""",12 13,07-03-83,Madrid,Sevilla,Almería,2007,Spanish
14,14,Rubén  Martín Pulido,D,6'02'',12  08,02-02-79,Madrid,Getafe,Almería,2007,Spanish
15,15,Miguel  Angel Corona,M,5'10'',10  10,12-02-81,Talavera,Zaragoza,Almería,2007,Spanish
17,17,Juan Manuel  Ortiz,M,5'10'',11  00,01-03-82,Alicante,Atlético  Madrid,Almería,2007,Spanish
18,18,Santiago Acasiete,D,"5'10""",11  05,22-11-77,Callao,Cienciano,Almería,2007,Spanish
21,21,Carlos  García,D,6'01'',12  08,29-04-84,Barcelona,Espanyol  B,Almería,2007,Spanish
22,22,Mané,M,"5'09""",10  08,22-12-81,Algeciras,Atlético  Madrid B,Almería,2007,Spanish
23,23,Fernando Soriano,M,6'03'',13  08,24-09-79,Zaragoza,Zaragoza,Almería,2007,Spanish
24,24,Juanito,M,6'00'',12  13,17-02-80,Málaga,Real Sociedad,Almería,2007,Spanish
25,25,Guilherme,D,"5'10""",11 05,05-02-88,Jequié,Vasco da Gama,Almería,2007,Spanish
26,26,Aitor Alcalde,G,"6'01""",12 01,22-05-85,Erandio,Athletic Bilbao B,Almería,2007,Spanish
1,1,Armando,G,5'11'',12  06,16-01-71,Sopelana,Cádiz,Athletic Bilbao,2007,Spanish
2,2,Unai  Expósito,D,5'09'',11  00,23-01-80,Barakaldo,Osasuna,Athletic Bilbao,2007,Spanish
3,3,Asier Del Horno,D,5'08'',10  10,19-01-81,Barakaldo,Valencia,Athletic Bilbao,2007,Spanish
4,4,Ustaritz,D,"6'00""",10  12,16-02-83,Abadiño,Athletic  Bilbao B,Athletic Bilbao,2007,Spanish
5,5,Fernando  Amorebieta,D,"6'03""",12  01,21-03-85,Iurreta,Athletic  Bilbao B,Athletic Bilbao,2007,Spanish
6,6,Ivan  Zubiaurre,D,"5'09""",11  11,22-01-83,Mendaro,Real  Sociedad B,Athletic Bilbao,2007,Spanish
7,7,Tiko,M,5'10'',11  09,15-09-76,Pamplona,Osasuna,Athletic Bilbao,2007,Spanish
8,8,Joseba  Garmendia,M,"6'00""",11  00,04-10-85,Basauri,Athletic  Bilbao B,Athletic Bilbao,2007,Spanish
9,9,Fernando  Llorente,F,"6'04""",13  12,26-02-85,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2007,Spanish
10,10,Francisco Yeste,M,6'00'',11  00,06-12-79,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2007,Spanish
11,11,Igor Gabilondo,M,6'00'',12  01,10-02-79,Donostia,Real  Sociedad,Athletic Bilbao,2007,Spanish
