,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Marcelo Pontiroli,G,"6'02""",13 12,22-01-72,San Andrés de Giles,Quilmes,Argentinos Juniors,2005,Argentinian
2,2,Diego Cocca,D,"5'09""",11 00,11-02-72,Capital Federal,Querétaro,Argentinos Juniors,2005,Argentinian
3,3,Jorge Anchén,D,"5'09""",11 07,17-08-80,Montevideo,Danubio,Argentinos Juniors,2005,Argentinian
4,4,Pablo De Muner,D,"5'07""",11 00,14-04-81,Capital Federal,None,Argentinos Juniors,2005,Argentinian
5,5,Facundo Pérez Castro,M,"5'07""",10 03,07-08-81,San Miguel de Tucumán,None,Argentinos Juniors,2005,Argentinian
6,6,Leandro Fleitas,D,,,29-12-83,San Martín,None,Argentinos Juniors,2005,Argentinian
7,7,Nicolás Gianni,F,"5'09""",11 09,27-09-82,Villa Adelina,Defensores de Belgrano,Argentinos Juniors,2005,Argentinian
8,8,Gastón Machín,M,"5'09""",11 07,23-02-83,Capital Federal,None,Argentinos Juniors,2005,Argentinian
9,9,Silvio Carrario,F,"5'10""",12 00,31-08-71,Bell Ville,Quilmes,Argentinos Juniors,2005,Argentinian
10,10,Leonardo Pisculichi,F,"5'10""",12 00,18-01-84,Rafael Castillo,None,Argentinos Juniors,2005,Argentinian
11,11,Matías  Córdoba,M,"5'09""",11  05,07-10-84,Lanús,None,Argentinos Juniors,2005,Argentinian
12,12,Juan Carrera,G,"6'03""",13 08,10-05-81,Peragamino,None,Argentinos Juniors,2005,Argentinian
13,13,Facundo Quiroga,F,"6'00""",12 11,16-05-85,Garín,None,Argentinos Juniors,2005,Argentinian
14,14,Sebastián Setti,M,,,09-02-84,Caseros,None,Argentinos Juniors,2005,Argentinian
15,15,Sebastián Brunet,D,"5'09""",11 07,22-01-84,Buenos Aires,None,Argentinos Juniors,2005,Argentinian
16,16,Franco Niell,F,"5'04""",10 03,22-05-83,Trelew,None,Argentinos Juniors,2005,Argentinian
17,17,Marcelo Sarmiento,M,"6'00""",12 01,24-08-79,Córdoba,Racing (Córdoba),Argentinos Juniors,2005,Argentinian
18,18,Leonardo Di Lorenzo,M,"5'07""",11 00,20-05-81,Capital Federal,San Lorenzo,Argentinos Juniors,2005,Argentinian
19,19,Leandro Zárate,F,,,31-03-84,Córdoba,Ben Hur (Rafaela),Argentinos Juniors,2005,Argentinian
20,20,Sergio Zanabria,M,,,20-07-82,Rafaela,Atlético Rafaela,Argentinos Juniors,2005,Argentinian
21,21,Ariel Seltzer,D,"5'05""",10 01,03-01-81,Ituzaingó,None,Argentinos Juniors,2005,Argentinian
22,22,Darío Gandín,F,"5'10""",12 13,07-12-83,Santa Fé,Colón (Santa Fe),Argentinos Juniors,2005,Argentinian
23,23,Juan Martínez,F,"5'08""",11 05,21-10-85,Viedma,Vélez Sarsfield,Argentinos Juniors,2005,Argentinian
24,24,Juan Manuel Herbella,D,"6'01""",12 11,03-05-78,Capital Federal,Barcelona [ECU],Argentinos Juniors,2005,Argentinian
25,25,Leonel Nuñez,F,"6'01""",11 11,13-10-84,Capital Federal,None,Argentinos Juniors,2005,Argentinian
26,26,Nicolás Pareja,D,,,19-01-84,Capital Federal,None,Argentinos Juniors,2005,Argentinian
27,27,Nicolás Navarro,G,"6'03""",13 10,25-03-85,Capital Federal,None,Argentinos Juniors,2005,Argentinian
28,28,Iván Kaviedes,F,"6'00""",11 03,24-10-77,Pichincha,Barcelona [ECU],Argentinos Juniors,2005,Argentinian
2,2,Carlos Ruiz,D,"5'10""",11 11,10-11-71,Capital Federal,None,Arsenal,2005,Argentinian
3,3,Mauricio Almada,D,"5'07""",12 06,18-08-76,Lincoln,Gimnasia y Esgrima (ER),Arsenal,2005,Argentinian
4,4,Darío Espínola,D,"6'00""",12 01,15-09-73,Garuapé,None,Arsenal,2005,Argentinian
5,5,Gastón Esmerado,M,"6'00""",12 01,08-02-78,Lanús,Olimpo (BB),Arsenal,2005,Argentinian
6,6,Victor López,D,"5'11""",12 00,19-12-78,Córdoba,Talleres (Córdoba),Arsenal,2005,Argentinian
7,7,José Tabares,F,"6'00""",12 06,28-05-78,Comodoro Rivadavia,CAI Comodoro Rivadavia,Arsenal,2005,Argentinian
8,8,Leonel Ríos,M,"5'10""",11 00,17-11-82,Capital Federal,Almería,Arsenal,2005,Argentinian
9,9,Pulpo González,F,5'10'',12 04,08-06-80,Guernica,Numancia,Arsenal,2005,Argentinian
10,10,Javier Morales,M,"5'08""",11 03,10-01-80,Lomas de Zamora,Newell's Old Boys,Arsenal,2005,Argentinian
11,11,Patricio González,M,"5'10""",11 07,20-02-79,Capital Federal,Lanús,Arsenal,2005,Argentinian
12,12,Esteban Dreer,G,"6'01""",12 06,11-11-81,Godoy Cruz,None,Arsenal,2005,Argentinian
13,13,Carlos Casteglione,D,"5'11""",12 08,09-05-80,Avellaneda,Juventud UU,Arsenal,2005,Argentinian
14,14,Germán Noce,D,"5'08""",11 07,30-01-77,La Plata,Tiro Federal (Rosario),Arsenal,2005,Argentinian
15,15,Cristian Tula,D,"5'09""",11 07,28-01-78,Rawson,River Plate,Arsenal,2005,Argentinian
16,16,Cristian Llama,M,"5'11""",12 06,26-06-86,Lomas de Zamora,None,Arsenal,2005,Argentinian
17,17,Juan Caffa,M,"6'00""",11 07,30-09-84,Venado Tuerto,Ferrocarril Oeste,Arsenal,2005,Argentinian
