,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Thomas Mandl,G,"6'01""",13 03,07-02-79,Eisenstadt,Basel,Admira Wacker,2005,Austrian
2,2,Patrick Osoinik,D,"6'01""",11 03,29-01-85,,BNZ Südstadt,Admira Wacker,2005,Austrian
3,3,Thomas Panny,D,,,23-02-87,,SC Himberg,Admira Wacker,2005,Austrian
4,4,Mario Fürthaler,D,5'11'',12 04,26-10-84,,Untersiebenbrunn,Admira Wacker,2005,Austrian
5,5,Michael Wagner,M,"5'11""",11 05,18-12-75,Vienna,Austria Vienna,Admira Wacker,2005,Austrian
6,6,Jürgen Panis,M,"5'07""",11 07,21-04-75,Wiener Neustadt,Untersiebenbrunn,Admira Wacker,2005,Austrian
7,7,Mehdi Pashazadeh,M,"6'01""",12 08,27-12-73,,Sturm Graz,Admira Wacker,2005,Austrian
8,8,Thomas Flögel,M,"5'10""",11 07,07-06-71,Vienna,FC Superfund,Admira Wacker,2005,Austrian
9,9,Nino Bule,F,"6'01""",12 04,19-03-76,Caplina,Austria Salzburg,Admira Wacker,2005,Austrian
10,10,Nenad Bjelica,M,5'11'',12 00,20-08-71,Osijek,Kaiserslautern,Admira Wacker,2005,Austrian
11,11,Butrint Vishaj,M,,,09-07-87,,None,Admira Wacker,2005,Austrian
12,12,Bernhard Morgenthaler,M,,,21-06-87,,None,Admira Wacker,2005,Austrian
13,13,Bernhard Schachner,M,"5'10""",11 11,10-01-86,,None,Admira Wacker,2005,Austrian
15,15,Gabor Egressy,F,"6'01""",12 08,11-02-74,,Diosgyör,Admira Wacker,2005,Austrian
16,16,Erwin Hoffer,F,"5'09""",11 05,14-04-87,,None,Admira Wacker,2005,Austrian
17,17,Christian Thonhofer,M,"5'10""",11 00,26-05-85,,Austria Vienna,Admira Wacker,2005,Austrian
18,18,Michael Horvath,M,"6'02""",13 05,05-02-82,Oberwart,FC Superfund,Admira Wacker,2005,Austrian
19,19,Rolf Landerl,M,"6'00""",12 01,24-10-75,Vienna,Sopron,Admira Wacker,2005,Austrian
21,21,Srdan Pecely,D,"6'00""",12 02,12-03-75,Möstar,Inter Zapreić,Admira Wacker,2005,Austrian
22,22,Georg Heu,G,"6'04""",13 03,30-10-65,Mödling,VfB Mödling,Admira Wacker,2005,Austrian
23,23,Gerd Wimmer,M,"5'09""",11 05,09-01-77,Laa an der Thaya,RW Oberhausen,Admira Wacker,2005,Austrian
24,24,Daniel Gramann,D,,,06-01-87,,None,Admira Wacker,2005,Austrian
25,25,Daniel Wolf,M,"6'00""",11 11,04-05-85,Vienna,Linzer ASK,Admira Wacker,2005,Austrian
27,27,Mahir Saglik,F,"5'10""",12 00,18-01-83,Vienna,Borussia Dortmund,Admira Wacker,2005,Austrian
28,28,Mohsen Faraji,M,"5'09""",11 11,21-02-80,,Dunajski Streda,Admira Wacker,2005,Austrian
